,Company,0214price,0214amt,0514price,0514amt,0814price,0814amt,1114price,1114amt,0214-0514chng,0514-0814chng,0814-1114chng
1326,HARVEST NATURAL RESOURCES IN,4.516999662630732,53354,3.770571796122965,45086,4.984845454405588,64997,3.661600034061397,23487,-8268,19911,-41510
1327,HASBRO INC,55.01052900063143,642986,55.62081766495818,457131,53.05044383264769,634924,54.99561548733586,549662,-185855,177793,-85262
1328,HATTERAS FINL CORP,16.338315451457078,290238,18.848624630259444,153486,19.808226842290086,168011,17.959779739814305,149278,-136752,14525,-18733
1329,HAVERTY FURNITURE INC,31.30141892022687,103318,29.70019034878008,242187,25.125730596710614,147140,21.788719042540585,135024,138869,-95047,-12116
1330,HAWAIIAN ELEC INDUSTRIES,26.05742369973688,172542,25.416271244931412,173865,25.319740500463396,161850,26.5494252422357,152847,1323,-12015,-9003
1331,HCA HOLDINGS INC,47.71020438390128,985743,52.50019112821818,640931,56.38100964926291,532165,70.51972909503661,741367,-344812,-108766,209202
1332,HCC INS HLDGS INC,46.138867470824245,153038,45.487724943391726,134256,48.9370152810586,143511,48.288595369975866,161943,-18782,9255,18432
1333,HCP INC,36.319824259057654,4518469,38.790085101047936,3924276,41.379910600493616,4021275,39.709983814404495,3880611,-594193,96999,-140664
1334,HD SUPPLY HLDGS INC,24.01781880635466,37264,26.1491317671093,19580,28.391692184795637,60088,27.249242386606394,40258,-17684,40508,-19830
1335,HDFC BANK LTD,34.448219245980525,96841,41.03121038108733,214544,46.825310923157005,194019,46.58090787967498,213156,117703,-20525,19137
1336,HEADWATERS INC,9.78883005847563,209831,13.20832846692078,94183,13.901984431531632,45605,12.542309529248085,48157,-115648,-48578,2552
1337,HEALTH CARE REIT INC,53.49849635320465,2904605,59.42617694298096,2416982,62.478631074349394,2556282,62.31652890037225,2160422,-487623,139300,-395860
1338,HEALTH NET INC,29.672023433038373,162847,34.00946442371823,188918,41.5403979019128,370242,46.110185542977675,473583,26071,181324,103341
1339,HEALTHCARE RLTY TR,21.309845148458585,1816062,24.1500153470332,1576852,25.420168996148725,1583113,23.6796927403094,1969409,-239210,6261,386296
1340,HEALTHCARE SVCS GRP INC,28.37027334569089,3140858,29.060113818460607,3139561,29.439914440834066,2935980,28.60997785289661,1715800,-1297,-203581,-1220180
1341,HEALTHCARE TR AMER INC,9.839945390357947,5426148,11.390179493973365,5076215,12.040202125287953,538280,11.599905690731427,1488719,-349933,-4537935,950439
1342,HEALTHSOUTH CORP,33.320585523753074,1126991,35.929615394671465,1338645,35.869970889004996,1339700,36.900214536131024,1242215,211654,1055,-97485
1343,HEALTHSTREAM INC,32.625256557160306,79417,26.682252490343565,19676,24.316553774182548,20521,24.035034117527246,9819,-59741,845,-10702
1344,HEALTHWAYS INC,15.348776805571337,123202,17.134737545971248,23928,17.53605692864858,31478,16.043744742218482,16642,-99274,7550,-14836
1345,HEARTLAND EXPRESS INC,19.624985857256,97223,22.68409234843687,34738,21.346788278672623,46377,23.943003971034802,17124,-62485,11639,-29253
1346,HEARTLAND PMT SYS INC,49.84375687689802,90884,41.469937596988814,30287,41.20550594102231,78606,47.695630198042544,21763,-60597,48319,-56843
1347,HECLA MNG CO,3.0774940847161436,323315,3.070374172191888,1538249,3.4505123881177844,1426165,2.479860918958145,766172,1214934,-112084,-659993
1348,HEICO CORP NEW,56.65522116744092,79216,54.704325887637694,97506,51.939416328038426,40605,45.1050743208611,56579,18290,-56901,15974
1349,HEIDRICK & STRUGGLES INTL IN,20.14127405871298,154310,20.069517629005123,108174,18.4969602897426,108234,20.53713937761212,108389,-46136,60,155
1350,HELEN OF TROY CORP LTD,49.37364618204402,132034,69.22497006607637,135298,60.62925618962149,151544,52.518982976896716,142101,3264,16246,-9443
1351,HELIX ENERGY SOLUTIONS GRP I,23.179549852327124,245475,22.97956551489881,203137,26.310767418126307,241042,22.06192222511141,223054,-42338,37905,-17988
1352,HELMERICH & PAYNE INC,84.07998994351401,978473,107.56001812214971,434827,116.1100076126808,571415,97.87223224953607,314696,-543646,136588,-256719
1353,HENRY JACK & ASSOC INC,59.209858368445104,157592,55.761042044818886,175194,59.435163506844816,170421,55.660395586842974,155263,17602,-4773,-15158
1354,HERBALIFE LTD,78.69964572687995,709622,57.26824151476554,467135,64.54090445137828,894487,43.75013203202568,1325436,-242487,427352,430949
1355,HERCULES OFFSHORE INC,6.523519775333488,68368,4.588438067731867,128802,4.018828331055195,207772,2.1985473149984074,97337,60434,78970,-110435
1356,HERCULES TECH GROWTH CAP INC,16.402083314721672,111937,14.063017287291466,69473,16.157505430747655,181835,14.460640878449313,223849,-42464,112362,42014
1357,HERITAGE COMMERCE CORP,8.244640983360815,20013,8.069757365684575,18464,8.178613396004701,21275,8.195514550718947,20377,-1549,2811,-898
1358,HERITAGE FINL CORP WASH,17.101014836285845,605812,16.92019158880486,707557,16.090254411132538,714159,15.840748437951884,594732,101745,6602,-119427
1359,HERSHA HOSPITALITY TR,5.569655504148762,315998,5.828582348632035,376764,6.709288789519392,541190,6.3690589959225274,502272,60766,164426,-38918
1360,HERSHEY CO,97.23025638511692,509975,104.39780083069373,557847,97.36821513341506,460068,95.43078101216757,317319,47872,-97779,-142749
1361,HERTZ GLOBAL HOLDINGS INC,28.621124494499284,459940,26.6386468990154,520109,28.029982587464943,7097186,25.390098568742854,9219657,60169,6577077,2122471
1362,HESS CORP,83.00075688656155,1491637,82.87983971853956,826546,98.89039666482141,1020635,94.32016692546586,824320,-665091,194089,-196315
1363,HEWLETT PACKARD CO,27.980042902487764,8991087,32.359934143625004,8260400,33.679917129364355,9073419,35.469939548131244,8768298,-730687,813019,-305121
1364,HEXCEL CORP NEW,44.68799116435156,70623,43.53890700605081,103953,40.9087691981032,70645,39.707245413686366,114362,33330,-33308,43717
1365,HFF INC,26.850063719574408,739961,33.610327629021576,948756,37.190444699879215,958714,28.95052959623009,820814,208795,9958,-137900
1366,HHGREGG INC,13.973669296020665,215262,9.609237653827712,150168,10.171018311866412,148756,6.3085542111953306,127446,-65094,-1412,-21310
1367,HIBBETT SPORTS INC,67.15550577943071,94646,52.915109913980366,11509,54.209109003629564,8541,42.64958600218716,19203,-83137,-2968,10662
1368,HIGHER ONE HLDGS INC,9.756306755438336,93273,7.23185040055071,264386,3.81071627856336,367385,2.471712009284264,179228,171113,102999,-188157
1369,HIGHWOODS PPTYS INC,36.170040165410256,5054100,38.40996848478022,5114037,41.949971092391884,5067870,38.89995539479675,5405199,59937,-46167,337329
1370,HILL ROM HLDGS INC,41.33982460314361,844827,38.53935547804896,1186709,41.509820322001865,1211111,41.429902639867045,723294,341882,24402,-487817
1371,HILLENBRAND INC,29.41849354704133,148614,32.32972112988923,33313,32.64510627931055,32838,30.890031487903066,100356,-115301,-475,67518
1372,HILLTOP HOLDINGS INC,23.126948445406533,108099,23.78984385566793,66541,21.255113136229483,77252,20.05210696185304,77149,-41558,10711,-103
1373,HILTON WORLDWIDE HLDGS INC,22.247977210445935,92323,22.24499778714681,42931,23.29956357471036,1146588,24.628278752134094,161075,-49392,1103657,-985513
1374,HIMAX TECHNOLOGIES INC,14.682615024365546,15801,11.52031578305438,180377,6.8546851549024455,89282,10.134792743488397,9867,164576,-91095,-79415
1375,HMS HLDGS CORP,22.700265985559692,3131373,19.04997768683447,4994809,20.40993659836536,5903791,18.850040930685612,5564285,1863436,908982,-339506
1376,HNI CORP,38.82887114451229,83031,36.55666771496428,92213,39.10903910903911,69498,35.981700028851314,72787,9182,-22715,3289
1377,HOLLY ENERGY PARTNERS L P,32.32971705827836,2292875,33.17003614507874,2190893,34.39008635422765,2150329,36.400058264822995,2135079,-101982,-40564,-15250
1378,HOLLYFRONTIER CORP,49.68994885287646,1369774,47.58046960465802,725802,43.68981696172836,879816,43.680154281975945,967579,-643972,154014,87763
1379,HOLLYSYS AUTOMATION TECHNOLO,18.93028822663499,1279167,21.539741656384717,1050384,24.490051679861,941566,22.490841304790273,864752,-228783,-108818,-76814
1380,HOLOGIC INC,22.35055728060728,556183,21.50040073859888,451666,25.349471735759703,415985,24.32987190993452,593879,-104517,-35681,177894
1381,HOME BANCSHARES INC,37.35017799390931,1313809,34.41999032102926,1324521,32.819481663408645,1340789,29.410425501537706,1295765,10712,16268,-45024
1382,HOME DEPOT INC,82.3399195435318,5423554,79.12985701703478,6018689,80.95998834762507,14197964,91.74004446882908,4093654,595135,8179275,-10104310
1383,HOME LN SERVICING SOLUTIONS,22.97026868971508,1215789,21.600084477741046,2471657,22.73021368067861,2627472,21.18971633742324,2027021,1255868,155815,-600451
1384,HOME PROPERTIES INC,53.620211924349476,1283005,60.11965005888354,1232093,63.959620722095785,1280855,58.24061587527842,1288053,-50912,48762,7198
1385,HOMEAWAY INC,40.87548920133353,27596,37.66954950646314,150546,34.82151572305261,317591,35.50441317631634,85426,122950,167045,-232165
1386,HONDA MOTOR LTD,41.349766333730415,261912,35.33939579714588,293610,34.99091065418724,325656,34.28011186659302,345769,31698,32046,20113
1387,HONEYWELL INTL INC,91.37003311258276,5827392,92.75992241356232,5415895,92.95001253290701,6159784,93.11988824127552,5760982,-411497,743889,-398802
1388,HOOKER FURNITURE CORP,16.6732929132293,40244,15.64963641070294,42493,16.130895647402014,69246,15.216127156425664,30954,2249,26753,-38292
1389,HORACE MANN EDUCATORS CORP N,31.537825429866835,105207,29.013992231737557,21369,31.26070376544197,43793,28.525414754677023,45328,-83838,22424,1535
1390,HORMEL FOODS CORP,45.169948290884584,456786,49.26954270467335,454236,49.349633535154545,621342,51.38855521186823,532784,-2550,167106,-88558
1391,HORNBECK OFFSHORE SVCS INC N,49.22279792746114,71796,41.82094194312796,54016,46.91393067776831,63414,32.74477021571586,24523,-17780,9398,-38891
1392,HORSEHEAD HLDG CORP,16.205590883562515,110394,16.821865594897776,105993,18.260876245496238,130169,16.534293349168642,107776,-4401,24176,-22393
1393,HOSPIRA INC,41.28042629835142,522451,43.249973967003356,681827,51.369652386264285,829225,52.02923795725007,675697,159376,147398,-153528
1394,HOSPITALITY PPTYS TR,27.02984562404217,2704048,28.72039898914693,2316855,30.399984150206407,9993821,26.849945420691448,5594611,-387193,7676966,-4399210
1395,HOST HOTELS & RESORTS INC,19.439763937017947,4594706,20.239841206184387,3453535,22.01021826296604,3958207,21.33007553839545,4928487,-1141171,504672,970280
1396,HOUGHTON MIFFLIN HARCOURT CO,16.960130485612495,1733831,20.329814607532906,1725151,19.159954392075818,1772499,19.439940736563393,1617186,-8680,47348,-155313
1397,HOUSTON WIRE & CABLE CO,13.371963449966572,26922,13.158907272027704,12995,12.440758293838865,11816,11.950877771367345,12133,-13927,-1179,317
1398,HOVNANIAN ENTERPRISES INC,6.621168264421844,112971,4.727425049368679,150399,5.156037991858886,81070,3.668244716095144,104137,37428,-69329,23067
1399,HOWARD HUGHES CORP,120.10311517907571,69049,142.73134499789424,26119,157.83484493359146,117756,149.99908302308947,109054,-42930,91637,-8702
1400,HSBC HLDGS PLC,55.129666847027906,1034960,50.83054779427148,1075495,50.25651764213172,974202,50.88047933582226,919272,40535,-101293,-54930
1401,HSN INC,62.30025052674676,718087,59.73025449142296,961054,59.240139149360935,1032847,61.36975738345787,892231,242967,71793,-140616
1402,HUANENG PWR INTL INC,36.334633108826644,5642,38.298436257619926,7546,45.26999593991068,4926,43.663123466884706,6115,1904,-2620,1189
1403,HUB GROUP INC,39.88168241829594,69305,40.03511852502195,5695,50.38167938931297,15720,40.490576246731,11089,-63610,10025,-4631
1404,HUBBELL INC,108.90031836551542,1408444,119.86976071568668,1366408,123.1503729365324,1469553,120.53042893624873,1430842,-42036,103145,-38711
1405,HUDBAY MINERALS INC,8.200589970501477,33900,7.784256559766764,34300,9.300291545189506,34300,8.554588622212368,54123,400,0,19823
1406,HUDSON CITY BANCORP,9.430305042899477,1385215,9.829968119022316,963584,9.830077174068006,1858785,9.720092050355692,1485274,-421631,895201,-373511
1407,HUDSON GLOBAL INC,4.022526146419952,21131,3.796687390252005,21071,3.9465550853501976,21031,3.756359659550188,21031,-60,-40,0
1408,HUDSON PAC PPTYS INC,21.86976677694727,2350368,23.069873845943217,2264295,25.340067629745285,2371146,24.659720501342477,2199295,-86073,106851,-171851
1409,HUGOTON RTY TR TEX,7.513062049502307,26221,8.079934450109251,43936,10.983562793181038,26221,8.962282140269249,26221,17715,-17715,0
1410,HUMANA INC,103.22013294541055,2923606,112.71993959386164,2819581,127.72036397181661,1026563,130.28998330574476,708627,-104025,-1793018,-317936
1411,HUNT J B TRANS SVCS INC,77.30305180979417,211350,71.92133319928571,208881,73.78131780751762,148398,74.04904653046358,208659,-2469,-60483,60261
1412,HUNTINGTON BANCSHARES INC,9.650016375289796,20912607,9.970020985310283,23016100,9.539994609401267,23147707,9.729989278508521,21525923,2103493,131607,-1621784
1413,HUNTINGTON INGALLS INDS INC,90.01404606047757,150932,102.2578864459494,148546,94.59833029247524,72348,104.2098128553677,106228,-2386,-76198,33880
1414,HUNTSMAN CORP,24.600163778264285,1196740,24.42140100285947,439942,28.099349574848045,610370,25.991553081205605,520900,-756798,170428,-89470
1415,HURON CONSULTING GROUP INC,62.667233489209536,79978,63.374932175800325,73720,70.82209129453223,90805,60.95975807093402,37697,-6258,17085,-53108
1416,HUTCHINSON TECHNOLOGY INC,3.1982039225653405,47214,2.8315777551251555,17658,2.5107333852218234,39829,3.661947464029296,34681,-29556,22171,-5148
1417,HYATT HOTELS CORP,49.45993687197753,103599,53.81123347257224,231736,60.980392694640024,364609,60.522120166853846,398912,128137,132873,34303
1418,HYSTER YALE MATLS HANDLING I,93.17412869953684,60886,97.4948219745537,60834,88.53465879410507,63173,71.63226086417457,64524,-52,2339,1351
1419,IAC INTERACTIVECORP,68.65087668926317,616467,71.38993881755627,319863,69.2310700956608,485779,65.90048660057423,362926,-296604,165916,-122853
1420,IAMGOLD CORP,3.3306016300676826,513721,3.5203374005670964,811854,4.119593876790185,962959,2.7607985665450943,314764,298133,151105,-648195
1421,IBERIABANK CORP,62.84432371388893,65527,70.15645805592544,72096,69.18881652652443,81227,62.51478516378849,80317,6569,9131,-910
1422,ICAHN ENTERPRISES LP,109.32754880694141,2305,102.20994475138123,362,99.64830011723328,2559,105.8416139716953,53136,-1943,2197,50577
1423,ICICI BK LTD,37.17086495738317,404887,43.79822127627228,210488,49.9032751008521,236237,49.10262180713403,284384,-194399,25749,48147
1424,ICON PLC,40.41610358590779,31819,47.57108545750368,12907,47.11231498500532,72359,57.24341390197195,38642,-18912,59452,-33717
1425,ICONIX BRAND GROUP INC,39.69989084532133,1585823,39.269894458964075,1330383,42.940040494320726,1282649,36.93975606039487,1384687,-255440,-47734,102038
1426,ICU MED INC,63.70496032797894,113178,59.90265818045676,8013,60.78818579891818,34941,64.18675887035018,43093,-105165,26928,8152
1427,IDACORP INC,51.840102935113364,1887014,55.47019992012592,1489845,57.82988938740094,1471713,53.60986755283677,1421548,-397169,-18132,-50165
1428,IDEX CORP,73.85038834765766,1150258,72.89103327116605,785515,80.73935012596836,635477,72.36934275328963,649543,-364743,-150038,14066
1429,IDEXX LABS INC,106.37102663488777,124611,121.40317826866396,131644,133.57555798177944,111742,117.83260597156807,185144,7033,-19902,73402
1430,IDT CORP,17.8615465915096,56770,16.664506452867222,54007,17.43093922651934,36200,16.072382988470643,26194,-2763,-17807,-10006
1431,IGATE CORP,40.16136008876685,106346,31.539926679910714,48827,36.3919648322297,17971,36.730662386567076,16199,-57519,-30856,-1772
1432,IHS INC,119.69914303578652,108756,121.495655432466,85394,135.66658307093564,107661,125.19358145689587,137539,-23362,22267,29878
1433,II VI INC,17.58001039578228,215472,15.444630204601545,25122,14.463967405143876,39270,11.773136773136773,39072,-190350,14148,-198
1434,IKANOS COMMUNICATIONS,1.2021864395738455,168859,0.8691009065915339,176044,0.4279728582374421,144869,0.35205434062292906,144864,7185,-31175,-5
1435,ILLINOIS TOOL WKS INC,84.0804166758559,2176464,81.33007204273042,2289891,87.55986683912228,2078989,84.42012711300725,1916877,113427,-210902,-162112
1436,ILLUMINA INC,110.5890084089372,626952,148.66001682490085,183062,178.54074720143745,609956,163.92050785630266,436974,-443890,426894,-172982
1437,IMATION CORP,4.680663433164875,176898,5.771167944484862,142952,3.4428938670583915,130704,2.955977055987613,56834,-33946,-12248,-73870
1438,IMAX CORP,29.48137476847088,19436,27.33033425240652,20673,28.39931153184165,10458,27.441659464131373,13884,1237,-10215,3426
1439,IMMERSION CORP,10.392609699769052,38104,10.558517983471775,47071,12.711730751033025,31703,8.587025820847943,50192,8967,-15368,18489
1440,IMMUNOCELLULAR THERAPEUTICS,0.935299295774648,18176,1.2401408800039684,20159,1.0995915802701854,19098,0.8920138524504145,19058,1983,-1061,-40
1441,IMMUNOGEN INC,14.674737145506725,79797,14.922442568230903,76395,11.854013851018346,78117,10.590644397517117,218778,-3402,1722,140661
1442,IMMUNOMEDICS INC,4.61052524326252,78516,4.2148662666264,76159,3.632442249843919,17619,3.722823947543049,88911,-2357,-58540,71292
1443,IMPAX LABORATORIES INC,25.138231108415184,171452,26.424384992623896,200648,29.990718957069785,277986,23.70906950881247,231093,29196,77338,-46893
1444,IMPERIAL OIL LTD,44.22945117288866,252411,46.5498315220575,392633,52.62999105874351,364602,47.217523257155676,459321,140222,-28031,94719
1445,IMPERVA INC,48.16596512327121,16630,55.71769700185725,11307,26.203597795570346,19234,28.730350665054413,20675,-5323,7927,1441
1446,INCYTE CORP,50.62901550417421,909755,53.51940565478036,903448,56.44090162273118,927572,49.0501914555676,910394,-6307,24124,-17178
1447,INDEPENDENT BANK CORP MASS,39.12049590521236,728365,39.36933198980499,674840,38.37999456374015,735800,35.720666149319726,716476,-53525,60960,-19324
1448,INDEPENDENT BANK CORP MICH,12.002403275161033,71569,12.976557596266682,73286,12.879634332148301,49225,11.925659168642213,55259,1717,-24061,6034
1449,INDEPENDENT BK GROUP INC,49.66019086267914,674202,58.75049961399686,730564,55.66973944778818,720086,47.44884523682431,702525,56362,-10478,-17561
1450,INDEXIQ ETF TR,28.961626543037482,35806,29.217427214536446,38744,29.97954152022242,38126,29.657058980517746,29976,2938,-618,-8150
1451,INFINERA CORPORATION,9.780094287136539,170755,9.07877100196382,384964,9.199588653697832,233380,10.66920579115701,163836,214209,-151584,-69544
1452,INFINITY PHARMACEUTICALS INC,13.809709390051136,3120196,11.89000505476449,3669805,12.740142153537619,3390700,13.420206690357475,3150026,549609,-279105,-240674
1453,INFINITY PPTY & CAS CORP,71.74722287875205,67696,67.61656708033297,19581,67.24374021909233,20448,64.00990099009901,20200,-48115,867,-248
1454,INFOBLOX INC,33.02580063482653,80967,20.060239719864647,338979,13.149170059676793,364966,14.749952821287035,264950,258012,25987,-100016
1455,INFORMATICA CORP,41.49791502003216,183455,37.782387206328046,186092,35.64765842869507,207980,34.23997299387622,4324945,2637,21888,4116965
1456,INFOSYS LTD,56.59951651893635,620500,54.180706352177715,160260,53.77284702782809,194336,60.49025706551893,594790,-460240,34076,400454
1457,ING GROEP N V,14.009475701779875,612514,14.250376129762024,728472,14.02027889870767,783080,14.189681992208426,1011862,115958,54608,228782
1458,INGERSOLL-RAND PLC,61.599938468032896,2236236,57.24024180366071,1759444,62.51003090814018,2704142,56.35980223130957,1824758,-476792,944698,-879384
1459,INGLES MKTS INC,27.10110968654671,45238,23.839246164378046,49666,26.351541872805104,39011,23.691692113298934,28491,4428,-10655,-10520
1460,INGRAM MICRO INC,23.46136641827532,288389,29.558758054164077,518831,29.21098910041094,442402,25.808508448452017,398357,230442,-76429,-44045
1461,INGREDION INC,68.4600652454187,2057769,68.08036388457658,1986564,75.04023944166515,1839613,75.79039493895229,1460251,-71205,-146951,-379362
1462,INLAND REAL ESTATE CORP,10.519913330428485,3362195,10.54987182060114,3174067,10.630339862489542,3229718,9.91002541137158,3174563,-188128,55651,-55155
1463,INNERWORKINGS INC,7.79261376322958,44786,7.654505514414475,44157,8.507953502600184,52304,8.099528500070026,42842,-629,8147,-9462
1464,INNODATA INC,2.452623489592701,61159,2.917389260765977,61699,3.2173870221113283,60919,3.0451199777271225,57469,540,-780,-3450
1465,INNOPHOS HOLDINGS INC,48.59595750441999,62783,56.74332601409915,8653,57.54891657909223,19983,55.08503013301478,74503,-54130,11330,54520
1466,INNOSPEC INC,46.21622387932745,35269,45.238478891395424,24824,43.132368446276246,10433,35.90992087644553,14787,-10445,-14391,4354
1467,INOVIO PHARMACEUTICALS INC,2.8997331167994034,1039406,3.329490978712036,202133,10.810515339074273,475648,9.848757063992425,367356,-837273,273515,-108292
1468,INPHI CORP,12.899651788540675,12636,16.094834232845027,10376,14.680971202710333,19481,14.405907632709885,16521,-2260,9105,-2960
1469,INSIGHT ENTERPRISES INC,22.70792344839921,139775,25.103062426383985,27168,30.73970690858339,28660,22.622296871719502,57156,-112607,1492,28496
1470,INSMED INC,16.96712619300106,15088,19.03971019202185,166179,19.912312751187436,5474,13.057786899748757,56518,151091,-160705,51044
1471,INSPIREMD INC,2.457531574213653,78941,3.0529129349767548,78941,2.950629643289952,56937,2.192884977256227,67491,0,-22004,10554
1472,INSTEEL INDUSTRIES INC,22.72690139694469,61205,19.67037024604746,29791,19.682706865907445,15191,20.5907506085126,15201,-31414,-14600,10
1473,INSULET CORP,37.10464443105425,169278,47.420186764656314,237304,39.67194027806315,58404,36.847972774746225,68172,68026,-178900,9768
1474,INSYS THERAPEUTICS INC NEW,38.72041140437117,26446,41.42896985370553,39441,31.228554297809016,138431,38.778309578895936,169863,12995,98990,31432
1475,INTEGRA LIFESCIENCES HLDGS C,47.716935627458284,61781,45.91995035681042,3223,47.06129313597845,400159,49.639783885861426,643919,-58558,396936,243760
1476,INTEGRATED DEVICE TECHNOLOGY,10.179586421491194,209537,12.230970009708042,516067,15.459134610878568,533471,15.949085318044652,522914,306530,17404,-10557
1477,INTEGRATED SILICON SOLUTION,12.103012103012107,21978,15.562248995983934,19920,14.762871378483114,32514,13.770032674653804,12854,-2058,12594,-19660
1478,INTEGRYS ENERGY GROUP INC,54.41284822117746,228016,59.65001295448657,185264,71.13291576365238,209945,64.81943672672361,318531,-42752,24681,108586
1479,INTEL CORP,25.954965254653498,23482713,25.813990936657227,32317436,30.900055768826817,27873995,34.82000765410526,23495888,8834723,-4443441,-4378107
1480,INTELIQUENT INC,11.406734858062293,104412,14.521682718698536,40078,13.873372700120836,87722,12.469705261512,25582,-64334,47644,-62140
1481,INTELSAT S A,33.81441918092623,298630,28.196350684113426,281313,25.840421454842897,349646,24.33995059185168,497084,-17317,68333,147438
1482,INTER PARFUMS INC,35.800607350176634,48407,36.20523194335893,43502,29.536605044375065,28507,27.512740928076024,26097,-4905,-14995,-2410
1483,INTERACTIVE BROKERS GROUP IN,24.3395219657687,219273,21.671173806925708,189699,23.288362619779722,279367,24.94851213265387,302984,-29574,89668,23617
1484,INTERDIGITAL INC,29.490169100575127,197693,33.10584065457562,106084,47.815596897369936,50151,39.818474601083295,81972,-91609,-55933,31821
1485,INTERFACE INC,21.96093186592669,159465,20.54990892127458,1035917,18.8406457624372,1184832,16.140814483696612,1159483,876452,148915,-25349
1486,INTERMOLECULAR INC,4.9185445464049256,550976,2.797761790567546,20016,2.335121489428842,15845,2.3233515267738607,27116,-530960,-4171,11271
1487,INTERNAP NETWORK SVCS CORP,7.5204375015396305,284159,7.078118576079589,269987,7.046097603725867,199685,6.897532532176634,196882,-14172,-70302,-2803
1488,INTERNATIONAL BANCSHARES COR,26.361483027882052,199268,25.0776821082094,168636,27.001642346298947,190581,24.667315806556317,191022,-30632,21945,441
1489,INTERNATIONAL BUSINESS MACHS,187.57009015170726,3392060,192.48981581421262,3101868,181.270004403267,3208981,189.82993152252232,2643935,-290192,107113,-565046
1490,INTERNATIONAL FLAVORS&FRAGRA,85.97968604158855,1650983,95.6698328392672,1638782,104.27970986955788,1784163,95.88005665291232,1760898,-12201,145381,-23265
1491,INTERNATIONAL GAME TECHNOLOG,18.160314960198168,2917956,14.060096612365667,2128506,15.909996323320179,2213954,16.869762958202536,647312,-789450,85448,-1566642
1492,INTERNATIONAL RECTIFIER CORP,26.067822476176964,281765,27.400372472879127,334521,27.899027976148247,324169,39.24229347408542,200447,52756,-10352,-123722
1493,INTERNATIONAL SPEEDWAY CORP,35.449675139632966,35092,33.999396597739555,43089,33.28959379278868,35056,31.630102749236325,36010,7997,-8033,954
1494,INTERNATIONAL TOWER HILL MIN,0.41047047569353856,287475,0.7542286973640053,289037,0.7207395414425236,287205,0.452638359360039,287205,1562,-1832,0
1495,INTEROIL CORP,51.48956435628595,661435,64.76028835686306,583305,63.94100948556394,259974,54.26107371861045,339046,-78130,-323331,79072
1496,INTERPUBLIC GROUP COS INC,17.70008318908416,2678236,17.139852925674678,2267289,19.509846013119525,2354811,18.319887763551762,2160439,-410947,87522,-194372
1497,INTERSECTIONS INC,7.794182878144604,15781,5.899705014749262,13899,4.9430100023261225,17196,3.8222646918299086,18837,-1882,3297,1641
1498,INTERSIL CORP,11.471057406850731,4557470,12.920050115281501,4646886,14.949982659105132,4645089,14.209958489831529,4505643,89416,-1797,-139446
1499,INTERVAL LEISURE GROUP INC,30.91622432494807,108325,26.137055275825816,144584,21.950394043417297,62049,19.05960416428326,43705,36259,-82535,-18344
1500,INTERXION HOLDING N.V,23.609665871412524,1641404,23.98007359184828,2208125,27.380164521011878,1441518,27.690308646326674,1376041,566721,-766607,-65477
1501,INTEVAC INC,7.430265834568837,116012,9.700166755675689,91751,8.017267961763798,32430,6.676271578893205,77738,-24261,-59321,45308
1502,INTL FCSTONE INC,18.478823268534263,13529,18.845514292501388,12629,19.957043135851084,11174,17.312593373758677,11379,-900,-1455,205
1503,INTL PAPER CO,49.02983140932706,4098566,45.88010976803897,2688943,50.47034348942396,2635627,47.739587760305994,1129440,-1409623,-53316,-1506187
1504,INTRALINKS HLDGS INC,12.101853518085296,22228,10.233629483382689,30390,8.899601372021879,32361,8.11886442027063,18845,8162,1971,-13516
1505,INTREPID POTASH INC,15.840364015546493,105490,15.461817459134496,100635,16.76006625451414,636334,15.45208807291952,200879,-4855,535699,-435455
1506,INTUIT,76.31983845609705,1429209,77.72983240288632,1028717,80.52983046215796,1163693,87.64967666094147,1147557,-400492,134976,-16136
1507,INTUITIVE SURGICAL INC,384.0802139640911,177226,437.987275529042,131086,411.79885360004687,683880,461.8189052516644,216141,-46140,552794,-467739
1508,INVACARE CORP,23.21183838453932,57643,19.059358998672487,10546,18.370713026333245,52747,11.808118081180814,35230,-47097,42201,-17517
1509,INVENSENSE INC,20.77956941138572,558770,23.67061119190321,867109,22.68979180732493,722792,19.729988515526504,712266,308339,-144317,-10526
1510,INVENTURE FOODS INC,13.24729420601591,29289,13.974540311173975,35350,11.269349845201239,24225,12.995692856081984,13466,6061,-11125,-10759
1511,INVESCO LTD,36.40003016642749,9255322,37.000083146254255,8779710,37.750052855586034,7837393,39.48010112621862,7221866,-475612,-942317,-615527
1512,INVESCO MORTGAGE CAPITAL INC,14.681421945948571,329464,16.47380973412243,113210,17.3591136678385,187740,15.719932827653876,423984,-216254,74530,236244
1513,INVESCO MUN OPPORTUNITY TR,11.709835099629036,240994,12.201487395554516,239479,12.601554443242698,238542,12.53179949120814,250004,-1515,-937,11462
1514,INVESCO MUNI INCOME OPP TRST,6.198554701085906,129385,6.602240522526906,127381,6.960138104205901,127440,6.790651667046106,127381,-2004,59,-59
1515,INVESCO QUALITY MUNI INC TRS,11.119591154563285,103511,11.806477686045842,103926,12.276441566450815,103776,12.122964073749538,110699,415,-150,6923
1516,INVESCO VALUE MUN INCOME TR,13.500303169044585,242439,14.39836581442566,241833,14.989665150888795,241900,15.180210728286221,241828,-606,67,-72
